id,title,platform,score,genre,editors_choice
1,LittleBigPlanet PS Vita,PlayStation Vita,9,Platformer,Y
2,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9,Platformer,Y
3,Splice: Tree of Life,iPad,8.5,Puzzle,N
4,NHL 13,Xbox 360,8.5,Sports,N
5,NHL 13,PlayStation 3,8.5,Sports,N
6,Total War Battles: Shogun,Macintosh,7,Strategy,N
7,Double Dragon: Neon,Xbox 360,3,Fighting,N
8,Guild Wars 2,PC,9,RPG,Y
9,Double Dragon: Neon,PlayStation 3,3,Fighting,N
10,Total War Battles: Shogun,PC,7,Strategy,N
11,Tekken Tag Tournament 2,PlayStation 3,7.5,Fighting,N
12,Tekken Tag Tournament 2,Xbox 360,7.5,Fighting,N
13,Wild Blood,iPhone,7,,N
14,Mark of the Ninja,Xbox 360,9,"Action, Adventure",Y
15,Mark of the Ninja,PC,9,"Action, Adventure",Y
16,Home: A Unique Horror Adventure,Macintosh,6.5,Adventure,N
17,Home: A Unique Horror Adventure,PC,6.5,Adventure,N
18,Avengers Initiative,iPhone,8,Action,N
19,Way of the Samurai 4,PlayStation 3,5.5,"Action, Adventure",N
20,JoJo's Bizarre Adventure HD,Xbox 360,7,Fighting,N
21,JoJo's Bizarre Adventure HD,PlayStation 3,7,Fighting,N
22,Mass Effect 3: Leviathan,Xbox 360,7.5,RPG,N
23,Mass Effect 3: Leviathan,PlayStation 3,7.5,RPG,N
24,Mass Effect 3: Leviathan,PC,7.5,RPG,N
25,Dark Souls (Prepare to Die Edition),PC,9,"Action, RPG",Y
26,Symphony,PC,7,Shooter,N
27,Bastion,iPad,9,"Action, RPG",Y
28,Tom Clancy's Ghost Recon Phantoms,PC,7.5,Shooter,N
29,Thirty Flights of Loving,PC,8,Adventure,N
30,Legasista,PlayStation 3,6.5,"Action, RPG",N
31,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9,Adventure,Y
32,World of Warcraft: Mists of Pandaria,PC,8.7,RPG,Y
33,Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9,Platformer,N
34,Pokemon White Version 2,Nintendo DS,9.6,RPG,Y
35,War of the Roses,PC,7.3,Action,N
36,Pokemon Black Version 2,Nintendo DS,9.6,RPG,Y
37,Drakerider,iPhone,6.5,RPG,N
38,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9,Adventure,Y
39,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,9,Adventure,Y
40,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation 3,9,Adventure,Y
41,Rock Band Blitz,Xbox 360,8.5,Music,Y
42,Counter-Strike: Global Offensive,Macintosh,8,Shooter,N
43,Worms Revolution,PlayStation 3,8.5,Strategy,N
44,Worms Revolution,PC,8.5,Strategy,N
45,Worms Revolution,Xbox 360,8.5,Strategy,N
46,Bad Piggies,iPhone,9.2,Action,Y
47,Resident Evil 6,PlayStation 3,7.9,"Action, Adventure",N
48,Resident Evil 6,Xbox 360,7.9,"Action, Adventure",N
49,Shad'O,PC,7,Adventure,N
50,Demon's Score,iPhone,6.9,Action,N
51,NBA 2K13,Xbox 360,9.1,Sports,Y
52,Counter-Strike: Global Offensive,PC,8,Shooter,N
53,The World Ends with You: Solo Remix,iPad,9.5,RPG,Y
54,Counter-Strike: Global Offensive,PlayStation 3,8,Shooter,N
